param L:= 10; #Number of shipping centres
param P:= 180; #Number of packages to be shipped
param V:= 120; #Number of vehicle types
param K:= 18; #number of pairs of incompatible packages
param I: 1    2:=
	1  41  93
149	130
150	134
151	146
152	112
153	131
154	146
155	114
156	146
157	124
158	129
159	120
160	143
161	132
162	147
163	122
164	141
165	128
166	116
167	114
168	146
169	112
170	142
171	113
172	148
173	137
174	140
175	145
176	149
177	110
178	133
179	129
180	142; #maximum delivery time
param cl:=
1	728
2	915
3	687
4	818
5	467
6	665
7	450
8	867
9	456
10	423
11	993
12	632
13	652
14	586
15	633
16	714
17	987
18	884
19	549
20	409
21	613
22	755
23	527
24	370
25	207
26	424
27	435
28	507
29	310
30	574
31	449
32	813
33	590
34	229
35	557
36	926
37	805
38	734
39	595
40	720
41	719
42	703
43	762
44	208
45	314
46	270
47	847
48	536
49	740
50	885
51	906
52	985
53	606
54	498
55	234
56	716
57	951
58	823
59	479
60	272
61	251
62	874
63	524
64	932
65	245
66	803
67	280
68	436
69	364
70	709
71	588
72	413
73	551
74	929
75	899
76	817
77	741
78	355
79	801
80	890
81	554
82	512
83	637
84	258
85	902
86	672
87	675
88	486
89	271
90	477
91	713
92	816
93	573
94	540
95	332
96	650
97	386
98	598
99	539
100	923
101	942
102	279
103	464
104	774
105	247
106	518
107	294
108	374
109	378
110	964
111	445
112	315
113	599
114	243
115	316
116	971
117	295
118	980
119	820
120	473
121	405
122	936
123	935
124	663
125	578
126	615
127	318
128	585
129	417
130	458
131	736
132	395
133	356
134	309
135	333
136	840
137	222
138	340
139	594
140	375
141	326
142	528
143	752
144	455
145	880
146	202
147	647
148	471
149	427
150	701
151	223
152	641
153	438
154	517
155	415
156	927
157	609
158	382
159	306
160	312
161	544
162	669
163	956
164	351
165	738
166	925
167	838
168	406
169	692
170	516
171	476
172	992
173	630
174	979
175	730
176	844
177	950
178	233
179	561
180	331; #penalty cost of package 
param h:=
1	1200
2	1200
3	1200
4	1200
5	1200
6	1200
7	1200
8	1200
9	1200
10	1200
11	1200
12	1200
13	1200
14	1200
15	1200
16	1200
17	1200
18	1200
19	1200
20	1200
21	1200
22	1200
23	1200
24	1200
25	1200
26	1200
27	1200
28	1200
29	1200
30	1200
31	1200
32	1200
33	1200
34	1200
35	1200
36	1200
37	1200
38	1200
39	1200
40	1200
41	1200
42	1200
43	1200
44	1200
45	1200
46	1200
47	1200
48	1200
49	1200
50	1200
51	1200
52	1200
53	1200
54	1200
55	1200
56	1200
57	1200
58	1200
59	1200
60	1200
61	1200
62	1200
63	1200
64	1200
65	1200
66	1200
67	1200
68	1200
69	1200
70	1200
71	1200
72	1200
73	1200
74	1200
75	1200
76	1200
77	1200
78	1200
79	1200
80	1200
81	1200
82	1200
83	1200
84	1200
85	1200
86	1200
87	1200
88	1200
89	1200
90	1200
91	1200
92	1200
93	1200
94	1200
95	1200
96	1200
97	600
98	600
99	600
100	600
101	600
102	600
103	600
104	600
105	600
106	600
107	600
108	600
109	6000
110	6000
111	6000
112	6000
113	6000
114	6000
115	6000
116	6000
117	6000
118	6000
119	6000
120	6000; #weight capacity of each vehicle type
param b:=
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	2
98	2
99	2
100	2
101	2
102	2
103	2
104	2
105	2
106	2
107	2
108	2
109	3
110	3
111	3
112	3
113	3
114	3
115	3
116	3
117	3
118	3
119	3
120	3
; #number of vehicles of each type available
param a:=
1	12
2	13
3	10
4	11
5	14
6	13
7	8
8	11
9	13
10	11; #number of operators living near center
param l:=
1	16
2	13
3	16
4	14
5	15
6	14
7	14
8	16
9	13
10	15; #loading limit
param u:= 
1	12
2	12
3	15
4	14
5	15
6	16
7	12
8	12
9	13
10	16; #unloading limit
param cm:   1      2     3     4     5	6	7	8	9	10:=
        1   0	362	186	166	222	140	330	408	172	284
  	  2 362	0	338	210	202	230	162	72	202	228
	  3 186	338	0	240	134	148	390	404	156	380
	  4 166	210	240	0	166	92	168	246	100	140
	  5 222	202	134	166	0	94	278	270	68	290
	  6 140	230	148	92	94	0	244	286	34	232
	  7 330	162	390	168	278	244	0	140	234	82
	  8 408	72	404	246	270	286	140	0	262	220
	  9 172	202	156	100	68	34	234	262	0	232
	 10 284	228	380	140	290	232	82	220	232	0;    #cost of relocating operators(multiplied cost and distance)

param t:=
[1,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0   	#time taken by truck from one center to another

[2,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0   

[3,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0   
[4,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0   
[5,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0   

[6,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0  

[7,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0   
[8,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0    

[9,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0   

[10,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0   

[11,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0   

[12,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0   

[13,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0   

[14,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0   

[15,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0   

[16,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0   

[17,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0   

[18,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0   

[19,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0   

[20,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0   

[21,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0   

[22,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0   

[23,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0   

[24,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0   

[25,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0   

[26,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0   

[27,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0   

[28,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0   

[29,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0   

[30,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0   

[31,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
	 2    181	0	169	105	101	115	81	36	101	114
	 3    93	169	0	120	67	74	195	202	78	190
	 4    83	105	120	0	83	46	84	123	50	70
	 5    111	101	67	83	0	47	139	135	34	145
	 6    70	115	74	46	47	0	122	143	17	116
	 7    165	81	195	84	139	122	0	70	117	41
	 8    204	36	202	123	135	143	70	0	131	110
	 9    86	101	78	50	34	17	117	131	0	116
	10    142	114	190	70	145	116	41	110	116	0   

[32,*,*]:    1     2     3     4     5     6      7     8     9     10:=
       1    0	181	93	83	111	70	165	204	86	142
